id,name,city_name,country_id,cancelled,year,month,day,end_year,end_month,end_day
TUDUnscrambleDay2026,TUD Unscramble Day 2026,Dublin,Ireland,0,2026,3,21,2026,3,21
TuksOpen2015,Tuks Open 2015,Pretoria,South Africa,0,2015,3,28,2015,3,28
TuksWinter2015,Tuks Winter 2015,Pretoria,South Africa,0,2015,6,27,2015,6,27
Tula2018,Tula 2018,"Tula, Hidalgo",Mexico,0,2018,9,29,2018,9,29
TulancingoOpen2010,Tulancingo Open 2010,"Tulancingo, Hidalgo",Mexico,0,2010,12,11,2010,12,11
TulaOpen2014,Tula Open 2014,Tula,Russia,0,2014,3,28,2014,3,30
TulcanOpen2018,Tulcan Open 2018,Tulcan,Ecuador,0,2018,1,6,2018,1,6
TulcanOpen2023,Tulcan Open 2023,Tulcan,Ecuador,0,2023,10,21,2023,10,21
TulipOpen2016,Tulip Open 2016,Utrecht,Netherlands,0,2016,3,20,2016,3,20
TullingeBasementBlind2019,Tullinge Basement Blind 2019,Tullinge,Sweden,0,2019,4,27,2019,4,27
TulsaHolidayCubeOff2025,Tulsa Holiday Cube-Off 2025,"Tulsa, Oklahoma",USA,0,2025,12,13,2025,12,13
TulungagungMiniCompetition2017,Tulungagung Mini Competition 2017,"Tulungagung, East Java",Indonesia,0,2017,7,23,2017,7,23
TumbaOpen2023,Tumba Open 2023,Tumba,Sweden,0,2023,5,20,2023,5,20
TunalBogota2024,Tunal Bogotá 2024,Bogotá D.C.,Colombia,0,2024,4,13,2024,4,13
TunasOpen2018,Tunas Open 2018,San Luis Potosí,Mexico,0,2018,3,24,2018,3,25
TunasOpen2019,Tunas Open 2019,San Luis Potosí,Mexico,0,2019,4,13,2019,4,14
TunasOpen2022,Tunas Open 2022,San Luis Potosí,Mexico,0,2022,7,16,2022,7,17
TunasOpenSLP2024,Tunas Open SLP 2024,San Luis Potosí,Mexico,0,2024,8,3,2024,8,4
TunisiaAutumnOpen2016,Tunisia Autumn Open 2016,Monastir,Tunisia,0,2016,11,30,2016,11,30
TunisiaAutumnOpen2017,Tunisia Autumn Open 2017,Monastir,Tunisia,0,2017,10,29,2017,10,29
TunisiaAutumnOpen2018,Tunisia Autumn Open 2018,Monastir,Tunisia,0,2018,10,15,2018,10,15
TunisiaKhomsaOpen2019,Tunisia Khomsa Open 2019,Tunis,Tunisia,0,2019,1,14,2019,1,14
TunisiaKhomsaSummerOpen2019,Tunisia Khomsa Summer Open 2019,Tunis,Tunisia,0,2019,7,7,2019,7,7
TunisiaOpen2014,Tunisia Open 2014,Mahdia,Tunisia,0,2014,12,22,2014,12,22
TunisiaSpringOpen2015,Tunisia Spring Open 2015,Mahdia,Tunisia,0,2015,3,17,2015,3,17
TunisiaSpringOpen2016,Tunisia Spring Open 2016,Monastir,Tunisia,0,2016,3,15,2016,3,15
TunisiaSpringOpen2017,Tunisia Spring Open 2017,Hammam Sousse,Tunisia,0,2017,2,26,2017,2,26
TunisiaSummerOpen2015,Tunisia Summer Open 2015,Monastir,Tunisia,0,2015,7,25,2015,7,25
TunisiaSummerOpen2016,Tunisia Summer Open 2016,Monastir,Tunisia,0,2016,7,8,2016,7,8
TunisiaWinterOpen2015,Tunisia Winter Open 2015,Nabeul,Tunisia,0,2015,12,23,2015,12,23
TunisiaWinterOpen2017,Tunisia Winter Open 2017,Sousse,Tunisia,0,2017,1,11,2017,1,11
TunisiaWinterOpen2018,Tunisia Winter Open 2018,Sousse,Tunisia,0,2018,3,20,2018,3,20
TunisiaWinterOpenDay2017,Tunisia Winter Open Day 2017,Sousse,Tunisia,0,2017,12,20,2017,12,20
Tunja2023,Tunja 2023,Tunja,Colombia,0,2023,2,25,2023,2,25
TuparendiOpenQuati2025,Tuparendi Open Quati 2025,"Tuparendi, Rio Grande do Sul",Brazil,0,2025,11,29,2025,11,30
TurinCubeDay2017,Turin Cube Day 2017,Turin,Italy,0,2017,3,5,2017,3,5
TurinWinterOpen2019,Turin Winter Open 2019,Turin,Italy,0,2019,1,12,2019,1,12
TurkishAnkaraOpen2014,Turkish Ankara Open 2014,Ankara,Turkey,0,2014,5,10,2014,5,11
TurkishCubingTourAnkara2020,Turkish Cubing Tour Ankara 2020,Ankara,Turkey,0,2020,2,22,2020,2,23
TurkishNationals2023,Turkish Nationals 2023,Ankara,Turkey,0,2023,8,10,2023,8,13
TurkishNationals2024,Turkish Nationals 2024,İstanbul,Turkey,0,2024,11,14,2024,11,17
